"Date","home.team","away.team","home.score","away.score"
2017-08-18,"Leganes","Alaves",16,6
2017-08-18,"Valencia","Las Palmas",22,5
2017-08-19,"Celta","Sociedad",16,13
2017-08-19,"Girona","Ath Madrid",13,9
2017-08-19,"Sevilla","Espanol",9,9
2017-08-20,"Ath Bilbao","Getafe",12,8
2017-08-20,"Barcelona","Betis",15,3
2017-08-20,"La Coruna","Real Madrid",12,16
2017-08-21,"Levante","Villarreal",14,9
2017-08-21,"Malaga","Eibar",10,13
2017-08-25,"Betis","Celta",10,9
2017-08-25,"Sociedad","Villarreal",15,6
2017-08-26,"Alaves","Barcelona",11,23
2017-08-26,"Girona","Malaga",15,7
2017-08-26,"Las Palmas","Ath Madrid",10,8
2017-08-26,"Levante","La Coruna",24,11
2017-08-27,"Eibar","Ath Bilbao",14,10
2017-08-27,"Espanol","Leganes",17,12
2017-08-27,"Getafe","Sevilla",15,6
2017-08-27,"Real Madrid","Valencia",22,7
2017-09-08,"Leganes","Getafe",11,11
2017-09-09,"Barcelona","Espanol",20,9
2017-09-09,"Real Madrid","Levante",18,5
2017-09-09,"Sevilla","Eibar",12,7
2017-09-09,"Valencia","Ath Madrid",11,13
2017-09-10,"Ath Bilbao","Girona",7,11
2017-09-10,"Celta","Alaves",20,5
2017-09-10,"La Coruna","Sociedad",11,15
2017-09-10,"Villarreal","Betis",14,8
2017-09-11,"Malaga","Las Palmas",14,10
2017-09-15,"Eibar","Leganes",10,5
2017-09-16,"Ath Madrid","Malaga",17,9
2017-09-16,"Betis","La Coruna",17,11
2017-09-16,"Getafe","Barcelona",13,7
2017-09-16,"Levante","Valencia",9,13
2017-09-17,"Alaves","Villarreal",16,16
2017-09-17,"Girona","Sevilla",13,13
2017-09-17,"Las Palmas","Ath Bilbao",12,11
2017-09-17,"Sociedad","Real Madrid",10,18
2017-09-18,"Espanol","Celta",9,11
2017-09-19,"Barcelona","Eibar",11,13
2017-09-19,"Valencia","Malaga",16,11
2017-09-20,"Ath Bilbao","Ath Madrid",12,16
2017-09-20,"La Coruna","Alaves",15,8
2017-09-20,"Leganes","Girona",12,10
2017-09-20,"Real Madrid","Betis",27,12
2017-09-20,"Sevilla","Las Palmas",14,6
2017-09-21,"Celta","Getafe",8,10
2017-09-21,"Levante","Sociedad",13,13
2017-09-21,"Villarreal","Espanol",14,10
2017-09-23,"Alaves","Real Madrid",8,21
2017-09-23,"Ath Madrid","Sevilla",13,11
2017-09-23,"Girona","Barcelona",13,9
2017-09-23,"Malaga","Ath Bilbao",15,8
2017-09-24,"Eibar","Celta",9,10
2017-09-24,"Espanol","La Coruna",17,21
2017-09-24,"Getafe","Villarreal",17,6
2017-09-24,"Las Palmas","Leganes",8,9
2017-09-24,"Sociedad","Valencia",18,13
2017-09-25,"Betis","Levante",14,8
2017-09-29,"Celta","Girona",16,10
2017-09-30,"La Coruna","Getafe",15,10
2017-09-30,"Leganes","Ath Madrid",7,11
2017-09-30,"Levante","Alaves",13,8
2017-09-30,"Sevilla","Malaga",12,11
2017-10-01,"Barcelona","Las Palmas",22,10
2017-10-01,"Real Madrid","Espanol",22,8
2017-10-01,"Sociedad","Betis",17,10
2017-10-01,"Valencia","Ath Bilbao",10,16
2017-10-01,"Villarreal","Eibar",12,8
2017-10-13,"Espanol","Levante",20,13
2017-10-14,"Alaves","Sociedad",8,13
2017-10-14,"Ath Bilbao","Sevilla",15,14
2017-10-14,"Ath Madrid","Barcelona",5,15
2017-10-14,"Getafe","Real Madrid",8,16
2017-10-15,"Betis","Valencia",13,13
2017-10-15,"Eibar","La Coruna",15,11
2017-10-15,"Girona","Villarreal",14,5
2017-10-15,"Malaga","Leganes",13,19
2017-10-16,"Las Palmas","Celta",24,14
2017-10-21,"Barcelona","Malaga",12,13
